grade,Arithmetic with Polynomials and Rational Expressions,Building Functions,Circles,Conditional Probability and the Rules of Probability,Congruence,Counting and Cardinality,Creating Equations,Expressing Geometric Properties with Equations,Expressions and Equations,Functions,Geometric Measurement and Dimension,Geometry,Interpreting Categorical and Quantitative Data,Interpreting Functions,Interpreting categorical and quantitative data,"Linear, Quadratic, and Exponential Functions","Linear, Quadratic, and Exponential Models",Making Inferences and Justifying Conclusions,Measurement & Data,Modeling with Geometry,Number and Operations (Fractions),Number and Operations in Base Ten,Operations & Algebraic Thinking,Quantities,Ratios and Proportional Relationships,Reasoning with Equations and Inequalities,Seeing Structure in Expressions,"Similarity, Right Triangles, and Trigonometry",Statistics and Probability,The Complex Number System,The Number System,The Real Number System,Trigonometric Functions
K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
